Indicator,Algeria_Value,Percentile,Countries_Below,Total_Countries
Population_millions_2024,46.814308,81.6593886462882,187,229
Surface area_sq. km thousands_2024,2381.74,91.70305676855895,210,229
Population density_people per sq. km_2024,19.3825602290762,12.663755458515283,29,229
Rural_Env_Rural population_2022,11473.04,75.54585152838428,173,229
Rural_Env_Rural population growth (annual %)_2022,-0.42,37.99126637554585,87,229
Rural_Env_Land area (sq. km)_2021,2381741.0,91.70305676855895,210,229
Rural_Env_Forest area (% of land area)_2021,0.82,6.550218340611353,15,229
Rural_Env_Permanent cropland (% of land area)_2021,0.39,23.144104803493452,53,229
Rural_Env_Arable land (% of land area)_2021,3.16,22.707423580786028,52,229
Rural_Env_Arable land (hectares per person)_2021,0.17,63.75545851528385,146,229
Agri_Inputs_Agricultural land_% of land area_2021,17.0,20.96069868995633,48,229
Agri_Inputs_Agricultural land_% irrigated_2021,3.3,19.65065502183406,45,229
Agri_Inputs_Average annual precipitation_millimeters_2020,89.0,2.6200873362445414,6,229
Agri_Inputs_Land under cereal production_hectares thousands_2021,1941.9,71.61572052401746,164,229
Agri_Inputs_Fertilizer consumption_% of fertilizer production_2021,14.5,5.676855895196507,13,229
Agri_Inputs_Fertilizer consumption_kilograms per hectare of arable land_2021,20.7,22.707423580786028,52,229
Agri_Inputs_Agricultural employment_% of total employment_2020,9.9,32.314410480349345,74,229
Forest_Bio_Forest area_sq. km thousands_1990,17.0,40.61135371179039,93,229
Forest_Bio_Forest area_sq. km thousands_2021,20.0,44.10480349344978,101,229
Forest_Bio_Threatened species_Mammals_2018,14.0,62.44541484716157,143,229
Forest_Bio_Threatened species_Birds_2018,15.0,45.851528384279476,105,229
Forest_Bio_Threatened species_Fishes_2018,41.0,65.93886462882097,151,229
Forest_Bio_Threatened species_Higher plants_2018,22.0,47.59825327510917,109,229
Forest_Bio_Terrestrial protected areas_% of total land area_2022,4.6,14.41048034934498,33,229
Forest_Bio_Marine protected areas_% of territorial waters_2022,0.1,12.22707423580786,28,229
Energy_Energy production_Total_million metric tons of oil equivalent_1990,100.1,89.08296943231441,204,229
Energy_Energy production_Total_million metric tons of oil equivalent_2015,143.2,89.95633187772926,206,229
Energy_Energy use_Total_million metric tons of oil equivalent_1990,22.2,75.9825327510917,174,229
Energy_Energy use_Total_million metric tons of oil equivalent_2015,56.6,81.6593886462882,187,229
Energy_Energy use_per capita_kilograms of oil equivalent_1990,874.0,36.24454148471616,83,229
Energy_Energy use_per capita_kilograms of oil equivalent_2015,1414.0,34.06113537117904,78,229
Energy_Energy use_Fossil fuel_% of total energy use_1990,99.9,97.81659388646288,224,229
Energy_Energy use_Fossil fuel_% of total energy use_2015,21.6,16.593886462882097,38,229
Energy_Energy use_Combustible renewable and waste_% of total energy use_1990,0.0,0.0,0,229
Energy_Energy use_Combustible renewable and waste_% of total energy use_2015,0.0,0.0,0,229
Energy_Energy use_Alternative and nuclear energy_% of total energy use_1990,0.1,11.353711790393014,26,229
Energy_Energy use_Alternative and nuclear energy_% of total energy use_2015,0.0,0.0,0,229
Energy_Energy use growth (%)_1990-2014,3.6,78.60262008733623,180,229
NatResource_GDP_Total natural resources rents_% of GDP_2021,22.5902703479201,91.26637554585153,209,229
NatResource_GDP_Oil rents_% of GDP_2021,14.4615654623053,92.57641921397381,212,229
NatResource_GDP_Natural gas rents_% of GDP_2021,7.9957286210892,96.50655021834062,221,229
NatResource_GDP_Coal rents_% of GDP_2021,0.0,0.0,0,229
NatResource_GDP_Mineral rents_% of GDP_2021,0.0037867683651986,57.64192139737992,132,229
NatResource_GDP_Forest rents_% of GDP_2021,0.129189496160402,46.724890829694324,107,229
Population_Population_millions_2000,30.9,81.6593886462882,187,229
Population_Population_millions_2024,46.8,81.6593886462882,187,229
Population_Average annual population growth %_2000-2024,1.7,66.37554585152839,152,229
Population_Population age composition_Ages 0-14_%_2024,30.0,66.8122270742358,153,229
Population_Population age composition_Ages 15-64_%_2024,63.0,31.004366812227076,71,229
Population_Population age composition_Ages 65+_%_2024,7.0,38.864628820960704,89,229
Population_Dependency ratio_young_% of working-age population_2024,48.0,69.43231441048034,159,229
Population_Dependency ratio_old_% of working-age population_2024,10.0,37.117903930131,85,229
"Population_Crude death rate_per 1,000 people_2023",5.0,5.676855895196507,13,229
"Population_Crude birth rate_per 1,000 people_2023",20.0,64.62882096069869,148,229
