Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Afghanistan,0,0,-1,1.1581789257940687,-1.4575499595132984
Albania,0,0,-1,-1.7748834387807453,-3.166138868239301
Algeria,0,0,-1,-1.367302811682624,-2.883479542226114
American Samoa,0,0,-1,0.06004389565107673,0.03769021495077366
Andorra,0,0,-1,-2.522712900308396,0.738959001709104
Angola,0,0,-1,-0.38882888816348277,-4.242340737289251
Antigua and Barbuda,0,0,-1,0.2665124793369773,-0.5344688412640743
Arab World,0,0,-1,-1.7810075545799366,-1.9559590238883837
Argentina,0,0,-1,-1.4194453668119669,-0.8400086727123762
Armenia,0,0,-1,-0.4487201545726004,-3.0894422791228267
Aruba,0,0,-1,0.19043122697461948,-0.3054825835871106
Australia,0,0,-1,-0.27083262729256197,1.4187548655944746
Austria,0,0,-1,-2.489510567998841,1.9941745206124912
Azerbaijan,0,0,-1,1.9781946273683955,-0.6086434558633388
"Bahamas, The",0,0,-1,-3.1941970523942795,-1.8477532537755186
Bahrain,0,0,-1,1.2305437866958264,1.8691712931318398
Bangladesh,0,0,-1,2.303108426467619,1.271621512403821
Barbados,0,0,-1,-3.106687034640892,-2.035013836581891
Belarus,0,0,-1,0.11569404601108198,1.1177399784736297
Belgium,0,0,-1,-3.542773979079308,1.463425652501418
Belize,0,0,-1,0.41122812909269474,-1.9152680472906187
Benin,0,0,-1,7.597807292435924,0.6359140181867481
Bermuda,0,0,-1,-3.837484946772644,0.5935173424222464
Bhutan,0,0,-1,1.6573702816896594,0.3160495712154624
Bolivia,0,0,-1,3.3284432694953177,0.26597764585746464
Bosnia and Herzegovina,0,0,-1,-5.327002104695607,-4.988720793800402
Botswana,0,0,-1,-5.222158198850001,-4.552572053072095
Brazil,0,0,-1,-1.966148910057139,-1.069712496392396
British Virgin Islands,0,0,-1,0.3099299578026225,0.14101364613368145
Brunei Darussalam,0,0,-1,-0.03871641095694219,0.22869725904985455
Bulgaria,0,0,-1,-1.2217354955072193,-0.01698068894187002
Burkina Faso,0,0,-1,5.158214795298883,-0.08118050499039
Burundi,0,0,-1,6.6209391564775375,-0.005547397536626335
Cabo Verde,0,0,-1,-0.7706481510558244,-3.4951274807650146
Cambodia,0,0,-1,4.288931283914559,3.56688269499615
Cameroon,0,0,-1,4.567726644285463,-0.24355343432729745
Canada,0,0,-1,-1.9261895527059365,1.6707875329821629
Caribbean small states,0,0,-1,-0.6523207163080956,-0.8151305597936768
Cayman Islands,0,0,-1,-0.9509272971143485,0.6118428923003189
Central African Republic,0,0,-1,3.8765914642996755,-0.28322364284754675
Central Europe and the Baltics,0,0,-1,0.059016325384168004,0.09492325897968555
Chad,0,0,-1,5.574308249879909,0.9536856856608668
Channel Islands,0,0,-1,-1.4333629171826885,-0.4382045801664117
Chile,0,0,-1,0.2511610314740907,-0.6755508176402566
China,0,0,-1,-3.5296944170076894,11.237208770778901
Colombia,0,0,-1,-0.3867225708510008,-1.7773329157106117
Comoros,0,0,-1,4.231474261179835,-0.44553360212637694
"Congo, Dem. Rep.",0,0,-1,6.305753757800875,-0.05748534486213529
"Congo, Rep.",0,0,-1,-2.6899464366935457,-4.524815262411635
Costa Rica,0,0,-1,-2.329908720040221,-2.0196467889896454
Cote d'Ivoire,0,0,-1,5.4876374386065345,0.6536807391616033
Croatia,0,0,-1,-2.9808555496973783,-1.281929603169947
Cuba,0,0,-1,-0.2187206693710641,1.234763367312902
Curacao,0,0,-1,-1.583457148812401,-0.7776485201284411
Cyprus,0,0,-1,-2.4880502548168084,-1.3116517121241007
Czechia,0,0,-1,-1.4196303879235852,2.8172956281245294
Denmark,0,0,-1,-1.9729968882842366,2.5685819884760606
Djibouti,0,0,-1,-6.543325533705777,-8.547724501719992
Dominica,0,0,-1,-0.30859224732221524,-0.4950052181424518
Dominican Republic,0,0,-1,-0.12665050089414764,0.22803251058076304
Early-demographic dividend,0,0,-1,-0.2422092558335843,-0.5454252916195865
East Asia & Pacific,1,1,-1,-7.0670861842329495,18.461726281398253
East Asia & Pacific (IDA & IBRD countries),0,0,-1,0.8686291310327645,0.700003790937308
East Asia & Pacific (excluding high income),0,0,-1,0.8750796858864249,0.7060936303447748
Ecuador,0,0,-1,2.4573990322396515,0.18029796218311636
"Egypt, Arab Rep.",0,0,-1,-1.0323272260151815,-1.7330844089161552
El Salvador,0,0,-1,0.22507704618853916,1.1599109737339734
Equatorial Guinea,0,0,-1,-0.6431912156617727,-0.4045621599967937
Eritrea,0,0,-1,1.2052643763354522,0.16800311414053856
Estonia,0,0,-1,-1.620561000672013,0.7569959668921925
Eswatini,0,0,-1,-6.026487049238571,-7.6412702907945
Ethiopia,0,0,-1,8.79595459080359,-0.0023902445781063377
Euro area,0,0,-1,-0.8884469739399579,-0.9388393754305313
Europe & Central Asia,1,1,-1,-8.4964877589146,14.407309373707548
Europe & Central Asia (IDA & IBRD countries),0,0,-1,-0.1457973986514899,-0.3089416299696517
Europe & Central Asia (excluding high income),0,0,-1,-0.49863379600837443,-0.7571387250650866
European Union,0,0,-1,-0.6679460972351977,-0.7085725544591858
Faroe Islands,0,0,-1,0.2653602844286995,0.46509081625945853
Fiji,0,0,-1,2.656519442193686,-0.6770083328818473
Finland,0,0,-1,-3.1825992587246863,0.6165350954577691
Fragile and conflict affected situations,0,0,-1,0.43283599287462704,0.2404556164622386
France,0,0,-1,-4.246715169932223,1.4910505144181694
French Polynesia,0,0,-1,-2.987606480743508,-1.9811516973108845
Gabon,0,0,-1,-2.0902192270006115,-3.138039547189017
"Gambia, The",0,0,-1,4.200868822652241,-1.1848744547273964
Georgia,0,0,-1,-0.9583692802361286,-2.983558402739213
Germany,0,0,-1,-2.959001360291271,5.499708299264465
Ghana,0,0,-1,4.92814127922198,0.12242299291305189
Gibraltar,0,0,-1,0.30992995780262067,0.14101364613368178
Greece,0,0,-1,-5.5297351340055085,-4.385084861159772
Greenland,0,0,-1,0.7919104883480138,-0.7622381664871459
