Country,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PC1,PC2
Afghanistan,0,1,-1,6.409173992614166,1.1405634637267665
Albania,0,1,-1,-2.7216967704772963,-1.9371598441526867
Algeria,0,1,-1,0.6305264512316275,-0.4090634211612475
American Samoa,0,1,-1,-0.8072431396254383,-1.4068299646514533
Andorra,0,1,-1,-0.8179917244299814,-1.4135866294137915
Angola,0,1,-1,6.870761763668199,1.716167578520591
Antigua and Barbuda,0,1,-1,-2.1390065499358952,-1.8737925885744178
Argentina,0,1,-1,-3.242743760422703,-1.1806750338269907
Armenia,0,1,-1,-1.3682440839377716,-1.4751062660479162
Aruba,0,1,-1,-1.8882073618473556,-1.7494821405076084
Australia,0,1,-1,-5.1425939844905955,-0.7397850725140731
Austria,0,1,-1,-3.5699749058961205,-2.210866352062075
Azerbaijan,0,1,-1,-0.5170333534525211,-1.195852613690122
"Bahamas, The",0,1,-1,-0.7971610184868672,-1.407005985291767
Bahrain,0,1,-1,-1.8562385102042893,-1.4697785052045007
Bangladesh,0,1,-1,2.426662559837041,0.8715977183945905
Barbados,0,1,-1,-1.6583878588456196,-1.776121836260211
Belarus,0,1,-1,-3.930676692870186,-2.2757761194933264
Belgium,0,1,-1,-4.853327674133962,-2.671554636697979
Belize,0,1,-1,1.3503569980609502,-0.6940577425305237
Benin,0,1,-1,8.589368058374971,1.5315407477534266
Bermuda,0,1,-1,-1.4830237665321078,-1.565413492971608
Bhutan,0,1,-1,2.0786697996323986,-0.5237116666824996
Bolivia,0,1,-1,0.6461371190392222,-0.40491351411963633
Bosnia and Herzegovina,0,1,-1,-2.5406742542727705,-1.7618311701707714
Botswana,0,1,-1,1.2199402963021406,-0.620594693548695
Brazil,0,1,-1,-2.9095086142467634,2.1301013404011417
British Virgin Islands,0,1,-1,-0.4332607578288485,-1.2126857152518633
Brunei Darussalam,0,1,-1,-1.6344145060985964,-1.528034634254236
Bulgaria,0,1,-1,-4.391985139934921,-2.48271632975611
Burkina Faso,0,1,-1,10.217865331276098,2.217178654250174
Burundi,0,1,-1,8.65432211592938,1.6038032316711146
Cabo Verde,0,1,-1,-0.25692724805582495,-1.07283513014184
Cambodia,0,1,-1,3.423105873624659,0.3293391897953198
Cameroon,0,1,-1,6.715691343170694,1.3191154673603371
Canada,0,1,-1,-4.3177646427482905,0.45605205264927684
Cayman Islands,0,1,-1,-0.8949319728412717,-1.3761299675107732
Central African Republic,0,1,-1,7.033723298615687,1.0994672864295483
Chad,0,1,-1,13.204957940791067,3.1157340081453846
Channel Islands,0,1,-1,-1.959190089439251,-1.7113442149188551
Chile,0,1,-1,-2.6871150670741715,-1.58078718869902
China,0,1,-1,-6.2809564844820915,8.586569202449342
Colombia,0,1,-1,-1.3529405950893485,-0.6089578539087812
Comoros,0,1,-1,4.550934318712432,-0.015158309280868216
"Congo, Dem. Rep.",0,1,-1,8.899814126662026,2.4892981227580355
"Congo, Rep.",0,1,-1,4.658812209869114,0.20672965419249797
Costa Rica,0,1,-1,-1.9094316090189793,-1.5606933165167214
Cote d'Ivoire,0,1,-1,8.360882557099982,1.8013557812132481
Croatia,0,1,-1,-3.695891004074814,-2.3415026892235877
Cuba,0,1,-1,-2.180631571441024,-1.7239445481697189
Curacao,0,1,-1,-2.805970942872102,-2.1542852342147536
Cyprus,0,1,-1,-2.7763769121572173,-1.949179038242563
Czechia,0,1,-1,-3.8134561661137663,-2.17597731627223
Denmark,0,1,-1,-3.9136821295392883,-2.3005676789207548
Djibouti,0,1,-1,1.7247602782463605,-0.747494569908795
Dominica,0,1,-1,-1.5407210886221883,-1.7146254091078537
Dominican Republic,0,1,-1,0.20193609945973282,-0.9732284528110771
East Asia & Pacific,1,0,-1,-8.970392442908986,20.114869969014816
Ecuador,0,1,-1,-0.7820323835026304,-0.3971515798455762
"Egypt, Arab Rep.",0,1,-1,1.547989180336996,0.40022605440007286
El Salvador,0,1,-1,0.8499068226186529,-0.7537083716358668
Equatorial Guinea,0,1,-1,3.5668675783115877,-0.009781327061237778
Eritrea,0,1,-1,5.57279469478617,0.7268763519853961
Estonia,0,1,-1,-3.607175772032143,-2.481951063316369
Eswatini,0,1,-1,2.0816803823529804,-0.8240126044879377
Ethiopia,0,1,-1,8.08699442651916,3.068207044065072
Europe & Central Asia,1,0,-1,-9.616298462397394,13.172885261710002
Faroe Islands,0,1,-1,-1.0307351390621597,-1.4185397867562166
Fiji,0,1,-1,-0.36652904695713123,-1.1810604709270323
Finland,0,1,-1,-4.676626507202365,-2.6349654335061437
France,0,1,-1,-4.2512398258615525,-1.8160225021231209
French Polynesia,0,1,-1,-1.325791684876162,-1.5586313634489388
Gabon,0,1,-1,2.433508973154552,-0.40925716511175736
"Gambia, The",0,1,-1,5.615208984425635,0.33344501052145836
Georgia,0,1,-1,-3.2996516731433134,-2.127158678518521
Germany,0,1,-1,-3.972312587611316,-1.4998038799264062
Ghana,0,1,-1,3.338479935839718,0.18700262602282167
Gibraltar,0,1,-1,-0.49298466774043725,-1.198581403500889
Greece,0,1,-1,-5.004676078788254,-2.5115696311785207
Greenland,0,1,-1,-1.350742776132482,-1.5035903805301118
Grenada,0,1,-1,-1.9780849867440864,-1.883990308309898
Guam,0,1,-1,-0.8642028117965298,-1.470277244474108
Guatemala,0,1,-1,3.958258542961408,0.4286213409113967
Guinea,0,1,-1,7.999265555237659,1.4627244604343972
Guinea-Bissau,0,1,-1,4.149790902661212,-0.07814102371658663
Guyana,0,1,-1,0.82434047817445,-0.9059960381744613
Haiti,0,1,-1,2.7216747431388173,-0.3722114060936625
Honduras,0,1,-1,4.228493654743651,0.4569182782569377
"Hong Kong SAR, China",0,1,-1,-5.1021696582662335,-2.70562580110868
Hungary,0,1,-1,-3.475401655426279,-2.089411377765587
Iceland,0,1,-1,-3.8978657092795386,-2.47792342949245
India,0,1,-1,-0.9724002079258173,7.517606541529028
Indonesia,0,1,-1,-1.0224781933888085,1.5355690420956645
"Iran, Islamic Rep.",0,1,-1,-0.6617899012963065,-0.17454149734455535
Iraq,0,1,-1,1.9958940536853615,-0.1412605181646821
Ireland,0,1,-1,-3.1779973501650387,-2.0052125527889313
